country,dim_code,dimension,primary_source_url,coder2_level(0-4),coder2_evidence_grade(H/M/L),coder2_justification,coder2_extra_source(optional)
Canada,B2,PQC implementation control,https://openquantumsafe.org/,2,M,"openquantumsafe.org describes OQS/liboqs (Waterloo-originated, now under the Linux Foundation PQCA) as software for research and prototype integrations, a domestic implementation of standard schemes but not a hardened production stack.",
Canada,B3,PQC validation & evaluation,https://www.cyber.gc.ca/en/guidance/preparing-your-organization-quantum-threat-cryptography-itsap00017,3,M,ITSAP.00.017 states the Cyber Centre co-operates CMVP with NIST and is updating CAVP/CMVP to test PQC implementations; this is a shared US-Canada validation capability rather than a purely national programme.,https://www.cyber.gc.ca/en/news-events/cyber-centre-celebrates-new-nist-post-quantum-standards
Australia,B1,Indigenous PQC primitive,https://users.monash.edu/~rste/Titanium_NISTSub.pdf,3,H,"Titanium NIST submission PDF fetched but did not parse; the Titanium HTML page confirms the Monash team (Steinfeld, Sakzad, Zhao) submitted Titanium to NIST in Nov 2017; it did not advance beyond Round 1.",https://users.monash.edu.au/~rste/Titanium.html
Australia,B2,PQC implementation control,https://users.monash.edu.au/~rste/,2,M,"Steinfeld's page lists Titanium research software; secondary reports say Senetas (Melbourne) ships PQC encryptors, but no hardened or certified domestic PQC implementation could be verified.",https://quantumzeitgeist.com/quantum-readiness-senetas-addressed-adelaidesec/
Australia,B3,PQC validation & evaluation,https://www.cyber.gov.au/resources-business-and-government/essential-cyber-security/ism/cyber-security-guidelines/guidelines-cryptography,2,L,"ISM cryptography page failed to load (ECONNRESET on two attempts); secondary reports state the ASD ISM lists ASD-approved PQC algorithms with a 2030 transition deadline, a national approval activity; no PQC product testing or certification capability verified.",https://www.theregister.com/2024/12/17/australia_dropping_crypto_keys/
India,B1,Indigenous PQC primitive,https://postquantum.com/security-pqc/indias-quantum-safe-roadmap/,1,M,postquantum.com summary of the DST task force report: India adopts NIST algorithms and only plans indigenous algorithm assessment for 2028-2030; DRDO and academic PQC research exists but no indigenous candidate has been published.,https://dst.gov.in/sites/default/files/Report_TaskForce_PQMigration_4Feb26%20(v1).pdf
India,B2,PQC implementation control,https://postquantum.com/security-pqc/indias-quantum-safe-roadmap/,2,M,"postquantum.com page reports no Indian PQC libraries; the C-DOT Quantum Alliance page describes indigenously developed PQC-capable products (CEM encryptor, quantum-secure IP phone), a domestic implementation without evidence of hardening or deployment.",https://www.cdot.in/cdotweb/web/quantumAlliance.php
India,B3,PQC validation & evaluation,https://iciss.isrdc.in/2024/?page_id=2518,1,M,"ICISS 2024 page is a PQC training workshop by DRDO, C-DAC and IIITDM staff; the task force plans TEC/STQC/BIS PQC labs by Dec 2026, which is announced rather than operational.",https://postquantum.com/security-pqc/indias-quantum-safe-roadmap/
Brazil,B1,Indigenous PQC primitive,https://eprint.iacr.org/2019/085.pdf,3,M,"eprint 2019/085 PDF did not parse; the abstract page shows it is qTESLA, a NIST Round 2 submission co-designed by Brazilians Barreto and Ricardini; affiliations are not shown on the page and are inferred; no indigenous scheme nationally standardized.",https://eprint.iacr.org/2019/085
Brazil,B2,PQC implementation control,https://kryptus.com/newsroom-kryptus/assinatura-pos-quantica-ac-raiz/,3,M,"Kryptus newsroom: the national kNET HSM (stated CAVP-certified for PQC since 2024) performed the first ML-DSA signature test for AC-Raiz with ITI in Nov 2025; a domestic production PQC implementation, but vendor self-reported.",
Brazil,B3,PQC validation & evaluation,https://capitaldigital.com.br/portaria-do-iti-estabelece-algoritmos-pos-quanticos-aos-padroes-da-icp-brasil/,2,M,"Capital Digital reports ITI Instrução Normativa 35 (Feb 2026) defining PQC algorithm standards for ICP-Brasil, together with the ITI/Kryptus experimental test; no PQC-specific homologation or certification capability is evidenced.",https://kryptus.com/newsroom-kryptus/assinatura-pos-quantica-ac-raiz/
Estonia,B1,Indigenous PQC primitive,https://cyber.ee/resources/news/cybernetica-and-university-of-tartu-cooperate-to-study-quantum-safe-cryptography/,1,M,Cybernetica/Tartu news (July 2021) describes a joint doctoral project on quantum-safe algorithms for i-voting; domestic research on existing schemes with no indigenous candidate published.,
Estonia,B2,PQC implementation control,https://cyber.ee/resources/news/estonia-pqc-transition/,2,M,Cybernetica transition page describes roadmap and readiness contracts rather than deployments; the ResQuant news item shows Cybernetica software implementations of PQC algorithms in a 2024 proof of concept.,https://cyber.ee/resources/news/res-quant-pqc/
Estonia,B3,PQC validation & evaluation,https://ccdcoe.org/uploads/2024/05/CyCon_2024_Vakarjuk_Snetkov_Laud-1.pdf,1,M,"CyCon 2024 PDF fetched but did not parse; per the CCDCOE listing it is an academic obstacle analysis by Cybernetica authors; government-commissioned readiness assessments are migration studies, not PQC evaluation or certification.",https://cyber.ee/resources/news/estonia-pqc-transition/
Belgium,B1,Indigenous PQC primitive,https://www.esat.kuleuven.be/cosic/pqcrypto/saber/,3,H,"Saber page (COSIC, KU Leuven) documents the Belgian-designed Module-LWR KEM submitted to NIST and reaching Round 3 finalist status; not standardized.",https://github.com/KULeuven-COSIC/SABER
Belgium,B2,PQC implementation control,https://www.esat.kuleuven.be/cosic/pqcrypto/saber/files/maskedSaber.pdf,2,M,"maskedSaber.pdf fetched but did not parse; the KU Leuven COSIC GitHub hosts reference and masked Saber implementations, research-grade domestic implementations rather than hardened products.",https://github.com/KULeuven-COSIC/SABER
Belgium,B3,PQC validation & evaluation,https://www.esat.kuleuven.be/cosic/,1,M,COSIC homepage mentions industry security evaluations only generically; no national PQC evaluation or certification activity found (Brightsight's PQC evaluation labs are not located in Belgium).,
Austria,B1,Indigenous PQC primitive,https://sphincs.org/,3,M,"sphincs.org failed to load (parse error, twice); TU Graz news (July 2022) confirms TU Graz researchers co-designed SPHINCS+, which NIST later standardized as SLH-DSA; standardization by a foreign body.",https://www.tugraz.at/en/news/article/auch-fuer-quantencomputer-unknackbar-krypto-algorithmus-mit-tu-graz-handschrift-wird-standard0
Austria,B2,PQC implementation control,https://www.tugraz.at/en/news/article/tu-graz-entwickelt-hardware-architektur-fuer-post-quantum-kryptographie,2,M,TU Graz news (Oct 2024): the KaLi coprocessor for Kyber/Dilithium is a research prototype; Infineon's Graz-site PQC chip demos belong to a German company.,
Austria,B3,PQC validation & evaluation,https://www.iaik.tugraz.at/,1,M,iaik.tugraz.at redirects to isec.tugraz.at (academic institute); A-SIT is a QSCD confirmation body with no PQC-specific evaluation programme found; PQC side-channel work is academic.,https://www.a-sit.at/en/confirmation-evaluation/qscd-certificates/
Argentina,B1,Indigenous PQC primitive,https://www.arsat.com.ar/arsat-desarrollo-cryptocomm-un-sistema-de-seguridad-criptografica-post-cuantica/,2,M,ARSAT page (June 2022): CryptoComm was built with local cryptographers using 'original post-quantum algorithms'; no publication or submission to an international process was found.,https://dplnews.com/argentina-arsat-presenta-sistema-de-seguridad-criptografica-post-cuantica-cryptocomm/
Argentina,B2,PQC implementation control,https://www.arsat.com.ar/arsat-desarrollo-cryptocomm-un-sistema-de-seguridad-criptografica-post-cuantica/,2,M,ARSAT page: CryptoComm software version distributed to agencies and a hardware version with INVAP; a domestic implementation of unvalidated non-standard schemes with no hardening evidence.,
Argentina,B3,PQC validation & evaluation,https://revistafibra.info/arsat-desarrollo-cryptocomm-un-sistema-de-seguridad-criptografica-post-cuantica/,0,L,"revistafibra.info returned HTTP 404; the ARSAT page and secondary coverage mention no evaluation, certification or independent analysis of CryptoComm.",https://www.arsat.com.ar/arsat-desarrollo-cryptocomm-un-sistema-de-seguridad-criptografica-post-cuantica/
Egypt,B1,Indigenous PQC primitive,https://thequantuminsider.com/2026/07/25/inside-africas-coordinated-race-to-secure-a-post-quantum-future/,1,L,Quantum Insider article only says Egyptian university hubs are standing up PQC master's programs and research groups; a 2025 Cairo conference paper reviews lattice-based cryptography; no indigenous candidate.,https://iopscience.iop.org/article/10.1088/1742-6596/3075/1/012013
Egypt,B2,PQC implementation control,https://thequantuminsider.com/2026/07/25/inside-africas-coordinated-race-to-secure-a-post-quantum-future/,0,L,Article mentions no Egyptian PQC implementation and searches found none.,
Egypt,B3,PQC validation & evaluation,https://thequantuminsider.com/2026/07/25/inside-africas-coordinated-race-to-secure-a-post-quantum-future/,1,L,"Article mentions no Egyptian PQC evaluation or certification; only an academic review paper (Cairo, 2025) was found.",https://iopscience.iop.org/article/10.1088/1742-6596/3075/1/012013
Algeria,B1,Indigenous PQC primitive,https://www.encryptionconsulting.com/pqc-migration-deadlines-by-country/,0,L,encryptionconsulting page does not mention Algeria; searches found no Algerian PQC algorithm or research record.,
Algeria,B2,PQC implementation control,https://www.encryptionconsulting.com/pqc-migration-deadlines-by-country/,0,L,encryptionconsulting page does not mention Algeria; no Algerian PQC implementation found.,
Algeria,B3,PQC validation & evaluation,https://www.encryptionconsulting.com/pqc-migration-deadlines-by-country/,0,L,encryptionconsulting page does not mention Algeria; no Algerian PQC evaluation record found.,
Bahrain,B1,Indigenous PQC primitive,https://www.sandboxaq.com/press/bahrain-government-takes-definitive-step-toward-building-a-quantum-safe-economy-through-strategic-partnership-with-sandboxaq,0,L,SandboxAQ press release (Dec 2025): NCSC Bahrain deploys SandboxAQ's AQtive Guard across ministries; no Bahraini PQC algorithm or research mentioned.,
Bahrain,B2,PQC implementation control,https://postquantum.com/quantum-computing/quantum-middle-east/,0,L,postquantum.com Middle East page mentions Bahrain only in passing; the only PQC capability found is the foreign SandboxAQ platform.,https://www.sandboxaq.com/press/bahrain-government-takes-definitive-step-toward-building-a-quantum-safe-economy-through-strategic-partnership-with-sandboxaq
Bahrain,B3,PQC validation & evaluation,https://postquantum.com/quantum-computing/quantum-middle-east/,0,L,postquantum.com page has no Bahrain PQC content; cryptographic assessment relies on the foreign SandboxAQ tooling.,https://www.sandboxaq.com/press/bahrain-government-takes-definitive-step-toward-building-a-quantum-safe-economy-through-strategic-partnership-with-sandboxaq
Ethiopia,B1,Indigenous PQC primitive,https://www.encryptionconsulting.com/pqc-migration-deadlines-by-country/,0,L,encryptionconsulting page does not mention Ethiopia; searches found no Ethiopian PQC algorithm or research record.,
Ethiopia,B2,PQC implementation control,https://www.encryptionconsulting.com/pqc-migration-deadlines-by-country/,0,L,encryptionconsulting page does not mention Ethiopia; no Ethiopian PQC implementation found.,
Ethiopia,B3,PQC validation & evaluation,https://www.encryptionconsulting.com/pqc-migration-deadlines-by-country/,0,L,encryptionconsulting page does not mention Ethiopia; no Ethiopian PQC evaluation record found.,
Ghana,B1,Indigenous PQC primitive,https://thequantuminsider.com/2026/07/25/inside-africas-coordinated-race-to-secure-a-post-quantum-future/,1,L,"Quantum Insider article mentions Ghanaian university research groups; a KNUST-affiliated arXiv paper (May 2025) benchmarks NIST PQC algorithms, i.e. research on foreign schemes.",https://arxiv.org/html/2505.02239v1
Ghana,B2,PQC implementation control,no public PQC record,0,L,"No public record; the KNUST benchmarking paper is analysis, not a maintained implementation.",https://arxiv.org/html/2505.02239v1
Ghana,B3,PQC validation & evaluation,no public PQC record,1,L,"No national record; only academic performance analysis of PQC algorithms from KNUST (arXiv, May 2025).",https://arxiv.org/html/2505.02239v1
Botswana,B1,Indigenous PQC primitive,no public PQC record,0,L,No source provided; searches found no Botswana PQC record.,
Botswana,B2,PQC implementation control,no public PQC record,0,L,No source provided; searches found no Botswana PQC implementation.,
Botswana,B3,PQC validation & evaluation,no public PQC record,0,L,No source provided; searches found no Botswana PQC evaluation record.,
Cameroon,B1,Indigenous PQC primitive,https://eprint.iacr.org/2026/1761,2,M,"eprint 2026/1761: University of Bamenda researchers co-author (with French partners) a new lattice-based authenticated key exchange construction; a proposed PQC protocol built on existing primitives, not a scheme submitted to a standardization process.",
Cameroon,B2,PQC implementation control,https://eprint.iacr.org/2026/1761,1,L,"eprint 2026/1761 reports a benchmark implementation of the proposed protocol; research code only, no maintained domestic library.",
Cameroon,B3,PQC validation & evaluation,no public PQC record,1,L,No national record; the eprint 2026/1761 paper provides academic security analysis only.,https://eprint.iacr.org/2026/1761
Cote d'Ivoire,B1,Indigenous PQC primitive,no public PQC record,0,L,No source provided; searches found no Ivorian PQC record.,
Cote d'Ivoire,B2,PQC implementation control,no public PQC record,0,L,No source provided; searches found no Ivorian PQC implementation.,
Cote d'Ivoire,B3,PQC validation & evaluation,no public PQC record,0,L,No source provided; searches found no Ivorian PQC evaluation record.,
Malaysia,B1,Indigenous PQC primitive,https://eprint.iacr.org/2026/064,3,H,"KAZ-SIGN (UPM, principal submitter Kamel Ariffin) was submitted to NIST's additional digital signature process (round 1 spec on csrc.nist.gov) and the KAZ suite entered Malaysia's MySEAL 2.0 AKBA evaluation; no national standardization yet and the eprint 2026/064 attack breaks all four KAZ schemes, so not level 4.",https://csrc.nist.gov/csrc/media/Projects/pqc-dig-sig/documents/round-1/spec-files/kaz-sign-spec-web.pdf; https://mykripto.cybersecurity.my/index.php/services/myseal/myseal-category/akba-myseal/akba-myseal-2-1
Malaysia,B2,PQC implementation control,https://berita.rtm.gov.my/nasional/senarai-berita-nasional/senarai-artikel/upm-bangun-teknologi-kaz-sign-teraju-keselamatan-digital-pasca-kuantum-negara/,1,L,"RTM article (Nov 2025) reports a UPM/Phison/MaiStorage KAZ-SIGN prototype of a non-standard (and since broken) scheme; no public domestic implementation of standard PQC schemes found, and the July 2026 Quantum Cryptography Sandbox is announced not operational.",https://www.malaymail.com/news/malaysia/2026/07/09/going-beyond-encryption-malaysia-rolls-out-quantum-cryptography-sandbox-to-safeguard-digital-borders/226998
Malaysia,B3,PQC validation & evaluation,https://mykripto.cybersecurity.my/,2,H,"MyKripto (CyberSecurity Malaysia) runs the MySEAL 2.0 AKBA evaluation of PQC candidates and advertises a PQC Product Validation & Certification facility, but no issued PQC certificates or named PQC test lab are public, so scored as national evaluation activity rather than certification capability.",https://mykripto.cybersecurity.my/index.php/services/post-quantum-cryptography-initiatives/pqc-services
Israel,B1,Indigenous PQC primitive,https://postquantum.com/post-quantum/sovereignty-quantum-pqc/,1,M,"The provided article only notes Israel's general cryptographic research; Ynet reports the National Digital Agency stating Israel is not developing its own algorithms and is tracking NIST, while university groups (e.g., BGU network-coding PQC work) publish PQC research on foreign schemes.",https://www.ynetnews.com/business/article/h1srzlgqkl; https://cris.bgu.ac.il/en/publications/network-coding-based-post-quantum-cryptography/
Israel,B2,PQC implementation control,https://www.globenewswire.com/news-release/2026/08/18/3346659/0/en/allot-leads-industry-and-academic-partners-to-launch-post-quantum-communications-consortium.html,2,M,"The Aug 2026 Allot-led consortium is a newly launched development effort (planned, not deployed); separately Israeli vendors Enquantum (IIA-backed FPGA PQC engine) and RAD (crypto-agile platform with hybrid PQC key exchange) market domestic PQC implementations, supporting level 2 but not verified hardened/certified production.",https://www.enquantum.io/; https://www.rad.com/use_case/post-quantum-security/
Israel,B3,PQC validation & evaluation,https://postquantum.com/post-quantum/sovereignty-quantum-pqc/,1,L,"No national PQC evaluation or certification programme found; the consortium will 'develop and evaluate' PQC technologies in future and the National Digital Agency directive is a readiness mandate, so only academic analysis is evidenced.",https://www.ynetnews.com/business/article/h1srzlgqkl
Iran,B1,Indigenous PQC primitive,https://scientiairanica.sharif.edu/?_action=xml&article=21044,2,M,"Sharif University researchers propose provably secure lattice-based (SPRING-based) authenticated encryption schemes in Scientia Iranica, an indigenous PQC construction proposed in a journal; no submission to an international standardization process or national PQC call found.",
Iran,B2,PQC implementation control,https://scientiairanica.sharif.edu/?_action=xml&article=21044,1,L,Only academic software benchmarks of the authors' own schemes on Intel CPUs are evidenced; no domestic implementation of standard PQC schemes or national PQC library was found in search.,
Iran,B3,PQC validation & evaluation,https://scientiairanica.sharif.edu/?_action=xml&article=21044,1,L,Only academic security proofs and analysis in the Sharif paper; no national PQC evaluation activity or programme found.,
Japan,B1,Indigenous PQC primitive,https://nvlpubs.nist.gov/nistpubs/ir/2019/NIST.IR.8240.pdf,3,H,"NIST IR 8240 PDF was not readable via fetch, but the QR-UOV round-2 specification on csrc.nist.gov (principal submitter Hiroki Furue; U. Tokyo, NTT, Kyushu, Nagasaki) shows an indigenous Japanese scheme in NIST's additional signature process; CRYPTREC has listed ML-KEM, not a Japanese PQC scheme, so not level 4.",https://csrc.nist.gov/csrc/media/Projects/pqc-dig-sig/documents/qruov-spec-round2-web.pdf; https://sj.jst.go.jp/news/202503/n0310-02k.html
Japan,B2,PQC implementation control,https://nvlpubs.nist.gov/nistpubs/ir/2019/NIST.IR.8240.pdf,2,L,"Domestic implementations exist for QR-UOV (reference and Cortex-M4 implementations released 2025 by the Japanese team), but I could not verify a domestic production or hardened implementation of the standard NIST schemes by Japanese vendors, so scored 2 on inference.",https://info.isl.ntt.co.jp/crypt/qruov/
Japan,B3,PQC validation & evaluation,https://www.cryptrec.go.jp/whatsnew.html,3,H,"CRYPTREC (national body) issued PQC guidelines (2023, updated 2025), research-trend reports, a commissioned ML-KEM security evaluation report (CRYPTREC-EX-3501-2025, Jan 2026) and added ML-KEM to the e-Government recommended list on 30 Mar 2026; JCMVP module testing of PQC not yet evidenced, so not level 4.",https://www.cryptrec.go.jp/exreport/cryptrec-ex-3501-2025.pdf
Netherlands,B1,Indigenous PQC primitive,https://www.cwi.nl/en/stories/cwis-leo-ducas-involved-in-two-primary-new-nist-post-quantum-cryptography-standards/,3,H,"CWI's Leo Ducas is a co-designer of CRYSTALS-Kyber and Dilithium, selected by NIST in July 2022 (now FIPS 203/204); standardization is by a foreign body and no Dutch national standard of an indigenous scheme exists, so level 3 not 4.",
Netherlands,B2,PQC implementation control,https://www.nxp.com/company/about-nxp/smarter-world-blog/BL-STANDARDIZATION-OF-POST-QUANTUM-CRYPTOGRAPHY,3,M,"NXP (Eindhoven) co-authored Kyber and reports side-channel-hardened ML-DSA implementations in immutable memory for secure boot on its products, with Keysight-assisted side-channel evaluation; a full domestic toolchain claim is not evidenced.",https://www.nxp.com/company/about-nxp/smarter-world-blog/BL-SECURING-TOMORROW-PQC-STRATEGY; https://www.eetasia.com/keysight-and-nxp-tackle-post-quantum-cryptography/
Netherlands,B3,PQC validation & evaluation,https://english.aivd.nl/latest/news/2024/12/03/aivd-cwi-and-tno-publish-renewed-handbook-for-quantum-safe-cryptography,2,M,"AIVD/CWI/TNO PQC Migration Handbook (2nd ed., Dec 2024) and the NBV product-evaluation pages state that supplementary evaluation criteria for quantum-safe products are still being developed, so a national PQC evaluation activity exists but not an operational PQC certification capability.",https://www.aivd.nl/onderwerpen/aandachtsgebieden/informatiebeveiliging/ontwikkeling-en-evaluatie-beveiligingsproducten
Mexico,B1,Indigenous PQC primitive,https://www.researchgate.net/scientific-contributions/Francisco-Rodriguez-Henriquez-2034318379,2,L,"ResearchGate returned 403; sqisign.org lists Francisco Rodríguez-Henríquez among the SQIsign (NIST additional signature) authors but under Technology Innovation Institute, UAE, so credit to Mexico rests on his CINVESTAV isogeny work (SIDH/CSIDH optimizations) and is scored as an indigenous candidate contribution, not a Mexican-affiliated submission.",https://sqisign.org/; https://dblp.org/pid/64/3154.html
Mexico,B2,PQC implementation control,https://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-55462021000400729,1,L,"The SciELO paper (BUAP/CINVESTAV) evaluates Dilithium, Falcon and Rainbow for Mexico's CFDI invoices using existing implementations; CINVESTAV academic isogeny implementations exist but no maintained domestic implementation of standard PQC schemes was found.",https://eprint.iacr.org/2023/793.pdf
Mexico,B3,PQC validation & evaluation,https://www.researchgate.net/scientific-contributions/Francisco-Rodriguez-Henriquez-2034318379,1,M,"Only academic performance/security analysis (CINVESTAV, BUAP papers) is evidenced; no national PQC evaluation activity or programme found.",https://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-55462021000400729
New Zealand,B1,Indigenous PQC primitive,https://www.math.auckland.ac.nz/~sgal018/,1,M,"Galbraith's Auckland page shows active isogeny-based PQC research, whitepapers and an MBIE-funded NZ-Australia PQC project, but no indigenous scheme submitted to an international process.",
New Zealand,B2,PQC implementation control,https://nzism.gcsb.govt.nz/ism-document/pdf/Section/12224,0,M,NZISM v3.9 section 2.4 (fetched via search snippet; direct PDF fetch returned empty) states no PQC systems are yet approved and agencies should inventory and plan; no domestic PQC implementation is evidenced.,https://quantumzeitgeist.com/otago-university-post-quantum-computing-gciso/
New Zealand,B3,PQC validation & evaluation,https://www.math.auckland.ac.nz/~sgal018/,1,M,"Academic analysis (Auckland cryptanalysis and the Data61/Auckland quantum-threat report) only; GCSB says it will review standards for NZISM once published, no national PQC evaluation activity yet.",https://nzism.gcsb.govt.nz/ism-document/pdf/Section/12224
Pakistan,B1,Indigenous PQC primitive,https://www.nature.com/articles/s41598-025-28413-8,1,M,"The Scientific Reports paper (Air University, NUST et al.) integrates NIST ML-DSA/ML-KEM into an IIoT authentication protocol; it is domestic research on foreign schemes, not a new primitive.",
Pakistan,B2,PQC implementation control,https://www.nature.com/articles/s41598-025-28413-8,1,M,The paper configures existing ML-KEM/ML-DSA libraries in TLS 1.3 and X.509 on Raspberry Pi hardware (wrapping foreign implementations); no domestic PQC library found.,
Pakistan,B3,PQC validation & evaluation,https://www.nature.com/articles/s41598-025-28413-8,1,L,Only academic benchmarking in the paper; no national PQC evaluation or certification activity found in search.,
Indonesia,B1,Indigenous PQC primitive,https://bsn.go.id/main/berita/detail/25342/bsn-bssn-perkuat-sinergi-persiapan-migrasi-ke-algoritma-post-quantum-cryptography,0,L,"bsn.go.id fetch failed (connection refused); secondary reporting on the BSN-BSSN PQC migration coordination and the June 2026 national PQC task force says Indonesia will adopt international (NIST) algorithms, and no Indonesian PQC candidate or PQC research artifact was found.",https://www.komite.id/2026/06/30/bssn-pembentukan-task-force-roadmap-pqc-migration-better-late-than-never-oleh-dr-rudi-rusdiah-anggota-taskforce-national-pqc-migration-road-map/
Indonesia,B2,PQC implementation control,https://bsn.go.id/main/berita/detail/25342/bsn-bssn-perkuat-sinergi-persiapan-migrasi-ke-algoritma-post-quantum-cryptography,0,M,"The task force is drafting a Presidential Regulation and roadmap with pilots planned; no domestic PQC implementation is reported, so imports only.",https://www.komite.id/2026/06/30/bssn-pembentukan-task-force-roadmap-pqc-migration-better-late-than-never-oleh-dr-rudi-rusdiah-anggota-taskforce-national-pqc-migration-road-map/
Indonesia,B3,PQC validation & evaluation,https://bsn.go.id/main/berita/detail/25342/bsn-bssn-perkuat-sinergi-persiapan-migrasi-ke-algoritma-post-quantum-cryptography,1,L,"BSSN is preparing PQC recognition and migration guidelines and BSN conformity-assessment support (planned); BSSN Reg. 11/2024 conformity assessment covers national classical algorithms, so no operational PQC evaluation activity is evidenced.",https://www.bssn.go.id/uji-publik-rancangan-peraturan-bssn-tentang-penyelenggaraan-algoritma-kriptografi-indonesia-dan-rancangan-peraturan-bssn-tentang-penyelenggaraan-skema-sertifikasi-common-criteria-indonesia/
Morocco,B1,Indigenous PQC primitive,https://thequantuminsider.com/2026/07/25/inside-africas-coordinated-race-to-secure-a-post-quantum-future/,1,L,"The Quantum Insider piece mentions Morocco only as a university hub; searches show DGSSI-hosted cryptology conferences and university groups (UM6P, ENSIAS) with PQC research intent, no indigenous scheme.",https://www.dgssi.gov.ma/en/actualites/16th-edition-international-conference-cryptology
Morocco,B2,PQC implementation control,https://thequantuminsider.com/2026/07/25/inside-africas-coordinated-race-to-secure-a-post-quantum-future/,0,L,No Moroccan PQC implementation or library found in the provided source or searches.,
Morocco,B3,PQC validation & evaluation,https://thequantuminsider.com/2026/07/25/inside-africas-coordinated-race-to-secure-a-post-quantum-future/,0,L,Only planned DGSSI cryptographic audits and a future migration roadmap are reported by secondary sources; no PQC evaluation activity found.,https://rmgsolutions.ma/en/ressources/dgssi-compliance-morocco-complete-guide-2026
